Bhaktipāda Gosvāmī,1653279,1654067,1655567,1656397,1656397,1657155,1658721,1659650,1660420,1661154,1662087,1662772,1663387,1664002,1664650,1665278,1666121
Hinduizmus | Leveles Zoltán spritiuális tanításai ,823391,824051,825238,825720,825720,826225,827990,828703,829774,830939,831728,832340,833011,833957,834748,835361,835986
A Tan Kapuja,1098149,1108881,1122702,1128202,1128202,1134737,1144822,1150680,1155602,1159924,1164455,1167557,1170109,1172745,1175958,1179476,1181908
Cser Zoltán,1120515,1122607,1135678,1140281,1140281,1144147,1150440,1153909,1157468,1160748,1163564,1165964,1168991,1171506,1173772,1175866,1177876
Chong An Sunim,5358131,5366178,5380877,5387442,5387442,5393537,5409239,5417147,5423533,5429606,5435866,5440800,5448124,5454237,5459925,5466087,5471893
Papifrankó,2052911,2054651,2058073,2059959,2059959,2062559,2067049,2068864,2070240,2071518,2073061,2074211,2075257,2076211,2077197,2078305,2079451
Misevlog Fábry Kornéllal,764050,764233,764544,764727,764727,764855,765140,765327,765519,765773,765945,766096,766262,766463,766669,766837,767087
Sivarama Swami,,,,,,,,,,,,,,,,,
Krisna.hu,,,,,,,,,,,,,,,,,
FFL,,,,,,,,,,,,,,,,,
Govinda Klub,,,,,,,,,,,,,,,,,
VedaTube,,,,,,,,,,,,,,,,,
Krisna-völgy,,,,,,,,,,,,,,,,,
Bhakti,,,,,,,,,,,,,,,,,
(T)edd magad szabaddá,,,,,,,,,,,,,,,,,
Nitai-bhavana d,,,,,,,,,,,,,,,,,
Caitanya d,,,,,,,,,,,,,,,,,